case_id,arm,common_input_sha256,normalized_request_sha256,common_input_equal,normalized_request_equal,oracle_disposition,materialized_state_sha256,oracle_state_equal,validator_accepts_oracle,hidden_answer_leakage_pass,arm_specific_information_pass
X16-U02,cope,6f0302300e9eb4b741c36922a141f5d7263f625e640b0f90f4aba2480e705a5c,36c37ca0eab8a604446a64d655a1af616e94d5b662b08e711941b6c313b20699,True,True,REJECT,04ff451722b1168ce0abaabeaaa95b3f6bb434ff19862f8e7ad49c6d385dfc7e,True,True,True,True
X16-U02,compact_tx,6f0302300e9eb4b741c36922a141f5d7263f625e640b0f90f4aba2480e705a5c,36c37ca0eab8a604446a64d655a1af616e94d5b662b08e711941b6c313b20699,True,True,REJECT,04ff451722b1168ce0abaabeaaa95b3f6bb434ff19862f8e7ad49c6d385dfc7e,True,True,True,True
X16-U02,fsr_pc,6f0302300e9eb4b741c36922a141f5d7263f625e640b0f90f4aba2480e705a5c,36c37ca0eab8a604446a64d655a1af616e94d5b662b08e711941b6c313b20699,True,True,REJECT,04ff451722b1168ce0abaabeaaa95b3f6bb434ff19862f8e7ad49c6d385dfc7e,True,True,True,True
X16-CC01,cope,ec3320985e3525308fb4743520702c0835483b5ab3faea26e6edf4b4f3e90fe4,4b2fe96aabb5f04efbd8fabd9f7fafb28f83126984cd43ef3af92dadc37792d4,True,True,APPLY,8efcbc991739ad1f52db8c8133119ab3f7a67794d6b031c31fdf5373d1448efc,True,True,True,True
X16-CC01,compact_tx,ec3320985e3525308fb4743520702c0835483b5ab3faea26e6edf4b4f3e90fe4,4b2fe96aabb5f04efbd8fabd9f7fafb28f83126984cd43ef3af92dadc37792d4,True,True,APPLY,8efcbc991739ad1f52db8c8133119ab3f7a67794d6b031c31fdf5373d1448efc,True,True,True,True
X16-CC01,fsr_pc,ec3320985e3525308fb4743520702c0835483b5ab3faea26e6edf4b4f3e90fe4,4b2fe96aabb5f04efbd8fabd9f7fafb28f83126984cd43ef3af92dadc37792d4,True,True,APPLY,8efcbc991739ad1f52db8c8133119ab3f7a67794d6b031c31fdf5373d1448efc,True,True,True,True
X16-CC02,cope,1ef4b0237ad8defcd2f936abf9630d203002cce906d2053c60557d430276434f,fb9d66c32cc633ca0b5236830c96f67eeb968a064400a75cfe2398680a390e3b,True,True,ABSTAIN,f924292eae4cdc25b28ad18b6bcd3fd8afad0401ffa329c87fc3ee7c7fe9f427,True,True,True,True
X16-CC02,compact_tx,1ef4b0237ad8defcd2f936abf9630d203002cce906d2053c60557d430276434f,fb9d66c32cc633ca0b5236830c96f67eeb968a064400a75cfe2398680a390e3b,True,True,ABSTAIN,f924292eae4cdc25b28ad18b6bcd3fd8afad0401ffa329c87fc3ee7c7fe9f427,True,True,True,True
X16-CC02,fsr_pc,1ef4b0237ad8defcd2f936abf9630d203002cce906d2053c60557d430276434f,fb9d66c32cc633ca0b5236830c96f67eeb968a064400a75cfe2398680a390e3b,True,True,ABSTAIN,f924292eae4cdc25b28ad18b6bcd3fd8afad0401ffa329c87fc3ee7c7fe9f427,True,True,True,True
X16-CV01,cope,1420b16fe3a42e96a29193b7d44776f500ec6e120dda62fc02b795b3de4edffe,68080da09795a4b0a3192a446a04286a2a486c6eb5c90b4687c534c60866bf0c,True,True,APPLY,419aa2f53941082ad038d4ce1ced7c914fe04b73605581c9d2d6c5d57b29d1a9,True,True,True,True
