scope,source_files,source_bytes,new_canonical,reuse_new,reuse_existing,new_bytes
fvl12/cope_outputs/preflight_20260804_v2,7,70893,4,3,0,25483
fvl12/cope_outputs/preflight_20260804_v3,7,71290,2,5,0,20127
fvl12/cope_outputs/preflight_20260804_v4,7,87376,2,5,0,36213
fvl12/cope_outputs/preflight_20260804_v5,8,111796,1,7,0,23764
fvl12/cope_outputs/preflight_20260804_v6,7,97302,4,3,0,82960
fvl12/cope_outputs/preflight_20260804_v7,7,111643,2,5,0,46169
fvl12/cope_outputs/preflight_v4_stdout.txt,1,21893,1,0,0,21893
fvl12/cope_outputs/validation_20260804_v1,2,621,2,0,0,621
fvl12/cope_outputs/validation_20260804_v2,2,20563,2,0,0,20563
fvl12/cope_outputs/validation_20260804_v3,6,25668,5,1,0,5475
fvl12/cope_r2_git_info_exclude,1,48,1,0,0,48
fvl12/cope_r2_package_sha_check.txt,1,6015,1,0,0,6015
fvl12/embodied-v2-block-final-1242c8b,1,223,1,0,0,223
fvl12/embodied-v2-block-final-49fa2da,1,223,1,0,0,223
fvl12/embodied-v2-block-final-8f05af5,1,223,1,0,0,223
fvl12/embodied-v2-block-final-b96bb5e,1,223,1,0,0,223
fvl12/occurrence-block-final-1242c8b,1,212,1,0,0,212
fvl12/occurrence-block-final-49fa2da,1,212,1,0,0,212
fvl12/occurrence-block-final-8f05af5,1,212,1,0,0,212
fvl12/occurrence-block-final-b96bb5e,1,212,1,0,0,212
fvl12/occurrence-formal-credential-block-20260804,1,212,0,0,1,0
fvl12/occurrence-formal-preflight-20260804,2,60465,0,0,2,0
fvl12/provider-smoke-block-20260804,1,216,0,0,1,0
fvl12/provider-smoke-block-crashsafe-20260804,1,216,1,0,0,216
fvl12/provider-smoke-block-final-1242c8b,1,216,1,0,0,216
fvl12/provider-smoke-block-final-49fa2da,1,216,1,0,0,216
fvl12/provider-smoke-block-final-8f05af5,1,216,1,0,0,216
fvl12/provider-smoke-block-final-b96bb5e,1,216,1,0,0,216
fvl12/rekep_repair_v2_integrity.txt,1,6383,1,0,0,6383
fvl12/rekep_repair_交接_v2,162,1034067,92,70,0,772249
fvl12/rekep_v2_execution_20260810,8,176960,8,0,0,176960
fvl12/stop-marker-probe-embodied-de9fcde,3,493,2,1,0,254
fvl12/stop-marker-probe-occurrence-de9fcde,3,493,0,3,0,0
fvl12/task7-occurrence-dev-20260804,6,7014,0,0,6,0
fvl12/v/cope_r3_20260905_v2,190,6329811,15,175,0,915076
fvl12/v/cope_r4_20260905,202,5666119,202,0,0,5666119
fvl12/vla,747,87377933,296,375,76,69185256
