task_id,initial_state_id,policy_seed,sealed_record_sha256,sealed_trace_sha256,sealed_success,replay_success,environment_controls_replayed,progress_source_sha256
1,9,101,6046fd7405ec06b2d1fbe899a8dcae2cf6464ca32ecf158e27900049dc65d538,966b2f25e11d15b23c23861c7447e69763b5a5e6bfb7f44d029400128e9f4182,True,True,248,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,0,101,23cab44ff381a021c4bfbc5b79c83ea52a5e3d0a408e5d279bc9018178328d47,7b26d97b69ddf66b69a508b2ccb9d7203331916351520370248bb91f86c55f24,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,1,101,0667c82e066f4738541cd28b110875e1ccfa49f2493b414703dd00a678601283,396d6776b173ba837572242721505fbfd1999c919324a9bb7d290d6dbb729ddf,True,True,266,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,2,101,8ecbfab00ca21a70aa265b68771f794a23d7b691ee0dea93d4de62bad38c9391,5675ed3332b51c99553d35730495f9eaaa1716278c74381ba338738134465d50,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,3,101,062daccd1281a728598268ddaa7147242911a3dd7d4046848bd18ccf098d9a92,0cc99874b14d51da979def3dd152a660a74f13324903fd161bb1ffe54d93e242,True,True,310,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,4,101,09c31ba10146587ab2e89271c3b47b2961f2a646fec708b330ab0d77adac2f64,a6e0f791787aa89b38877952c25298b6b9c915098ced03b3cb5b471c1d6eb150,True,True,284,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,5,101,4d930465d6d10eeaec582201608c2d03a497997ad97084551ab3329c85d64d97,0c39b24e56f799cd4a55e451f35f0b3627f54f60ea126fba00d035b03533bd34,True,True,290,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,6,101,7d96dd44689b99f573c02b8619fbef440e915ad9233499aec267c1fc1fa51a6d,8cc407d958590bc679b39c4855febb9946c85102805bc1db61738a08885de508,True,True,282,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,7,101,6dcfbb269a618c7facb5aefde6bb8f51440ead8b1bd1627410167c7594a37531,ccf8f9d3500f280e6fc9de4eafa7f2a65f7b3c01285e4e33af84c353743819d1,True,True,306,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,8,101,5f9efa8ace572f6ab8e62d05578c829d3d2cbe45d077c7d3abcda75baa552e13,3c29788def75d1b31b11948ee3b990e7de42e19331e7291a1e654c20e3984bbc,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
2,9,101,69dbe628d933432bef65196c7b7965b158368f57cb9898f94071703d15fb1201,37831711064551e90b4838f29310675457332d3f3fcdcb7e2a10aa5f79b7bcac,True,True,333,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,0,101,5500950d0ea45b8261affe69849636af2c830edf2f88e5e60629f419f52e9291,cd60c41d3d82705c84fc8f5880de2ed37650196ebf762f82b5c074eb5af1bfe9,True,True,322,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,1,101,3bf573067ba7de426688e348ca99d36f020c7c274a8b7ab1cbf8beeacdf97eed,d5bae7b3024cf844779e9b66d6f495dbed46394664f497555acc72a45b180c99,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,2,101,ca7cd32a6df25d19d7e44885e107f14a739a9ffc2364b1a0428feafce382a997,6585b260095787289188a7c31e47234e24a53ea260913a75222e7d1ec9dede2e,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,3,101,38841e8e689e6ef30233b2cc8c31962d4c1843089e5a8f131f1c12aee77aef2d,4db6b40f05b09aeb1d0b3c48c4477cc81fada5eda603b5ad5ebb8083cb11eb11,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,4,101,9325ba5ca8db546b7550e7dc9233cdc99afec3ec6c3a306cbec7f56b2a4215fc,6c1cd0342febe38d910457880dd626079f8c83b42e8757b36fb109d75ef7f934,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,5,101,c8505111d350605c94c8f11e312597876905939526743777d73796a023deff1a,a4bbb65fb671d4ec0298ce950f1a0b2e8e90898d87cbb778e329d7263616dcb4,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,6,101,c66055eda7fab277cd7d4f06e7ad64bbec9219a2ca64c857613c1163abb01536,20ec36f8d715c492e5c6fcb8fc2953fd6ba1206739963881291911f95d98c013,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,7,101,77929e119a2d683e9b22dc283cfa25b76f183c1b45398afac4b1581f2ed6b790,774db30ac24d5b09c683be4be15949fc112c25e41ac00d53096d6120f79d68ba,True,True,255,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,8,101,7260e341df9dfafbc166c7eb4752fc5715723deeda73c5e0db9ea29e7aa76094,32828e847bf44cbde72789e093f4ec6bafb34a5a2028980a22f7dec2446214dc,True,True,305,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
3,9,101,29a0f7e2eaa68a43afbddc9acb3ec94db72a494697655f732c3931d17f400972,85940970475b2f0ee9e14e0e0ab01bbc66d6f33227b3079e51015eeae9a48c84,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,0,101,3412da8670f8a65a268e6522a19467c9cc4890d56eabeeb12f1718d26e792e92,aaa2dff52f00667356a5eaf131e4e9ccac4e65e405390e945124fe444927d180,True,True,240,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,1,101,913ad4ef558872fc00cefc40381e925880a0e29c2a09ef20bec66e4ff28f5445,9a9ba43432946e7845ea4f44e11338f6406194a65f68aea38160d99594d6e344,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,2,101,d85b5fa17c2f6924ae6162ef304c9b798e641c5b621a65d6307a7d7d9068445b,7e198d0860b2a2a7a991ba25ad0fe80d7b9b1e4d582f7746c2d1de2ed5b87b6c,True,True,218,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,3,101,6df0decc2daf4e04ca4f2c5328d11f42c60114e6756663582de5a72bff08848f,5266dc375dda276468260e9f1f16f1fc4203dc7f9863fabb3a32c7bc7ad0e939,True,True,274,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,4,101,566cbcb7378bb80e8d7e15d020e1990f1cc1cf52df670174bbbd58070f22a06e,4a311c6fb226efada74ef4eb5a0928f623954ac1db18e4ee5d4b307d81ee9dd3,True,True,294,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,5,101,66423670432fdbb6aaa0e1291cde79d1532f8f20b85cdfdcea208b451af8efa2,cfc3fb04f91db0948e30269973d0376bb3eb3c5c836c1c2ad086727e772f7652,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,6,101,5f1d6a585d04ed23e77f4543da21e056705c176c6f1659721f63279cea55e007,3fcb6980f285bf4eb99cdb7d435a49ebef8e727674a06b2136909608c9421d70,True,True,277,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,7,101,c7d6e8f2167ca355b5fcdf74ddbfeb46dbc65f18219ccd63470019b4c009e1c4,0512feb323e5a8f3c0faf9aa950c57245673c95b4a1e28ba81fe2a7a4df3082c,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,8,101,d64d0423d9e8a4cf189d7f72c8c6d98d1c53b3710ae17d331181506110530eb2,38e6a8eb8cbb3b3e6d948b8f1dcbdcba3ac6b4b972bce8437b7c9ad71339579b,True,True,280,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
4,9,101,6f6b23e3709596b7d6863ba8c945c9b3fb8dec92ea0ecaee62c338d031eda2d6,6693d146311a1fe0b1e8ac42023143cd7f78fb8cce01cd4a5fd0df1cc6fda8ab,True,True,238,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,0,101,e3a4d6d26f2b906480a7e4b06ea4d5fdff38ee718c570718344492129a5cdfaf,734e6a718bcfc5ca5fc6bd67f63fe04a0c67d01e9a076e89635ac07d03ccadb1,True,True,428,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,1,101,43b0522c50be35b977da48b50985ac375d7d4f93acd7e80c44459054e052c585,cbff5c93a77a5a305c43fa40e8e3a181a7e9907ed96415638c5957a80acdd910,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,2,101,89426767fa27798de43fc6643c4d2dc327211cb5562e92c9381fea685351fa62,ffed1eab4865322c1788ac919ac98dd106748327a611ea5bc3b682cf2860f8ab,True,True,492,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,3,101,bdff310bad60c134c337811f749ef617dbd568276d37a34db982cde72c24689d,1ad8fd4b32ca72cf5bb7670128b1ddcb4267fe9ea15b3e403c6181ee8a02f5f1,True,True,238,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,4,101,f90d7fa7c1d449cc6a7177a33b07e1974e31a4ead7d876c1bf546d884e4ed744,dbd644e650682d43485d15d1ba5c31a20be7e2b06122abcbfcb8b2fc06340f02,True,True,176,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,5,101,19db43934af8c013359ad5311b129761ab1767f06b0002770a88b8cb120deb7c,968c45c58a78aac6a86e450fe8c1fdc29a596633b96a41192120e083490aef44,True,True,193,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,6,101,1be15685347003e05cb4dc53d7bc9835d1d4567ada233d9414fb75a2ceb26e10,dd94a96bfd06240cadd6dc204894e050d796d7f05c24d37d4e629cb44bfe26bc,True,True,223,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,7,101,fcd0299ec8dd0f61a7c3775f6908565aabcaae3d995775a58be1395ebc3e942b,8c7b22f8a8b879d4e2d6a9050940093851639ed677187c00a325d42370080709,True,True,226,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,8,101,b87336d7a5e2148c206065ba6f2d1b11d3ace3bb06963852be2b8f69f55d8fc9,7c894120da5ab7ff96c6ca47e6373253537ddd4f0b6fddb2941e96d43cb84868,True,True,175,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
5,9,101,28d740374731cd8af67e83b7cc2e1fb8d4e796ac92cbb673e8ba927d634736b1,9ea956d99f3fe7e55a07dc97e824d7c9b31b5c28f8e34919b7f049e4653dd439,True,True,203,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
6,0,101,091b2de99b5b011e5d197c4495c09db9d85bf058b61745d64e8f31454b300722,30a5bbfff98cac4c18efe068f1479770423a55e0759c3bf17d427ca74b7b535b,False,False,530,de59d0f4fa6612cfd56c29b8e59870e409325c97b5817cd02f0aecdc660858cb
