index	exit	command	log_path
00_gpu_before	0	nvidia-smi --query-gpu=index\,name\,memory.total\,memory.used\,utilization.gpu --format=csv	/home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/00_gpu_before.log
01_check_vla_env	0	bwrap --bind / / --dev-bind /dev /dev --proc /proc --bind /home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/isolated_smoke_outputs /home/lijingsu/vla/smoke_outputs /home/lijingsu/vla/scripts/run_project_env.sh python check_vla_env.py	/home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/01_check_vla_env.log
02_openvla_smoke	0	bwrap --bind / / --dev-bind /dev /dev --proc /proc --bind /home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/isolated_smoke_outputs /home/lijingsu/vla/smoke_outputs /home/lijingsu/vla/scripts/run_project_env.sh python openvla_smoke.py --model /home/lijingsu/vla/models/openvla-7b --device cuda:0 --unnorm-key bridge_orig	/home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/02_openvla_smoke.log
03_libero_base_closed_loop_smoke	0	bwrap --bind / / --dev-bind /dev /dev --proc /proc --bind /home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/isolated_smoke_outputs /home/lijingsu/vla/smoke_outputs /home/lijingsu/vla/scripts/run_project_env.sh python libero_base_closed_loop_smoke.py	/home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/03_libero_base_closed_loop_smoke.log
04_libero_disturbance_smoke	0	bwrap --bind / / --dev-bind /dev /dev --proc /proc --bind /home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/isolated_smoke_outputs /home/lijingsu/vla/smoke_outputs /home/lijingsu/vla/scripts/run_project_env.sh python libero_disturbance_smoke.py	/home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/04_libero_disturbance_smoke.log
98_generated_files	0	find /home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes -type f \( -name \*.json -o -name \*.png -o -name \*.mp4 \) -printf %TY-%Tm-%Td\ %TH:%TM:%TS\ %s\ %p\\n	/home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/98_generated_files.log
99_gpu_after	0	nvidia-smi --query-gpu=index\,name\,memory.total\,memory.used\,utilization.gpu --format=csv	/home/lijingsu/vla/audit_outputs/20260713_213433_offline_smokes/99_gpu_after.log
