case_id,mutation_id,traversal_index,operator,path,argument,candidate_sha256,canonical_sha256,candidate_changed,exact_accepted,exact_exception,decomposed_accepted,violated_groups,decomposed_crash,decomposed_exception,order_only_divergence,dangerous_blind_spot,caller_state_unchanged,pass
no_op,no_op:S0019,19,append_scalar,/current_goal/all,,75765cf1b7a7f6fcff44274366fbab19e884100b198a66ac1ed82c372aacf8ba,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0020,20,reverse_list,/current_goal/all,,45ddf7e2423521692506a4f66877e3776f4e9df78089a3cb38969e568547ffa7,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0021,21,delete_field,/current_goal/all/0,predicate,15927a1660875820656ff73411b7829d62fb9e543aa11846237f022b4a0027a6,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0022,22,delete_field,/current_goal/all/0,arguments,f94f3bbd293e86fa412c2c7256156b2657bdd993baa4881dd165bc8d87eb473d,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0023,23,add_unknown_field,/current_goal/all/0,,172d910730212db4c4c5727bacef87367cd667d92771d3fee59a5fbf030953db,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0024,24,mutate_string,/current_goal/all/0/predicate,,b7d8f2cd84a9b72c0ae0f41be2a13f175f8514eb482c4210df409a80e6813152,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0025,25,drop_list_item,/current_goal/all/0/arguments,0,470c928905abee590aff7917d43f84bd0b20c469993afec0e1af5720a4cc84e5,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0026,26,duplicate_list_item,/current_goal/all/0/arguments,0,ca5b8ee3f7a2310938832ff67e06c10ac5d5065bbe2f1215a81bbe94d97c0adc,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0027,27,drop_list_item,/current_goal/all/0/arguments,1,f9d6d3b5a4ee6109d429e1a1996f98b983851c053013f7e5be700701fa89093e,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0028,28,duplicate_list_item,/current_goal/all/0/arguments,1,64a30f8cc9b8442fa512365f56eadbe194e7269cc05cfb33c3eccfeb723ec907,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0029,29,append_scalar,/current_goal/all/0/arguments,,d6e1ea653dc48474bab7cced7681fe409abd2e7c195eaf724a312f87419a8ef2,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0030,30,reverse_list,/current_goal/all/0/arguments,,1139f1178b18f47131c2fdf85066c2a96ac11b9287467ed30ffd4ce075b2c2ca,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0031,31,mutate_string,/current_goal/all/0/arguments/0,,2f2ac3bdfd0496dcd9f5c1ba96b1bc83919a7fcd1af1e23532a3b27ae75e43f5,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0032,32,mutate_string,/current_goal/all/0/arguments/1,,b994d68619ef32426140c8d4e576d6d9bf3352e3275d4456a6d41c474ac29319,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0033,33,delete_field,/current_goal/all/1,predicate,2af2e4e87eb4d9c7076690b50be1beb0d79327179b1e4c52618440bc085cece4,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0034,34,delete_field,/current_goal/all/1,arguments,acb62ed977cb57b57028f28bafd33257d5003270b133210a94129640d25841e2,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0035,35,add_unknown_field,/current_goal/all/1,,67c8d83e0c3a86f0a6a118daa86f605bb794ab6a72ec776ebe70c53f9dd632d5,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0036,36,mutate_string,/current_goal/all/1/predicate,,32cc5e74d655b6853951eb2934538396bcf9e4d3801f312874a94ad1d1d704a1,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0037,37,drop_list_item,/current_goal/all/1/arguments,0,0527f2f1a2e98a8ce645591de0e16afd5841c6c90c3b68f707f980637728bad2,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0038,38,duplicate_list_item,/current_goal/all/1/arguments,0,1c2c449ffc0c75582a303fcde6cf3ff09fce5eb0a73abd5c584ee92fcded02b7,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0039,39,drop_list_item,/current_goal/all/1/arguments,1,f7c629ec720520fb172aa3dbda9f1396b89e37fbbceec88df41061566ec76080,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0040,40,duplicate_list_item,/current_goal/all/1/arguments,1,7e0ccbcb58c284f56c0341b4abd06cb4e223bf9104a560a640d29896392e07b2,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0041,41,append_scalar,/current_goal/all/1/arguments,,b444627dd889a60a9c17dea55c991bba3a7d4e87b4deeae6878d2e30def3e91f,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0042,42,reverse_list,/current_goal/all/1/arguments,,51ca34aec1a99f068445f411b2fae7fbae545f24c4a6fd1b4f25f5d445784300,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0043,43,mutate_string,/current_goal/all/1/arguments/0,,55b398140c5e15fa38ee0ff2795e2e9909bd087db86cc9525694588b8b1edf24,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0044,44,mutate_string,/current_goal/all/1/arguments/1,,2784cb0dbdb8f214a520210e1b8556e625a5731b67947042c165add9e3a930e7,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0045,45,drop_list_item,/entities,0,475da83c583ee9493124d639bbd3f05ffb8cb6dc347721ba57cc169215a2adea,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0046,46,duplicate_list_item,/entities,0,c0feedd82897a0a34179829a92f50897eed4217b295b29227f2202d1b8e193b5,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0047,47,drop_list_item,/entities,1,3134e4223a030db7e3e10cc8ffeb501bd56383de7f917dc6bb0524682f3f1fc4,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0048,48,duplicate_list_item,/entities,1,681b7feeb2657d45b7697fd07ac7abd16feccbf4787a4519cf3baa51511cc33d,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0049,49,drop_list_item,/entities,2,eda88b14c836fd688675382b31e64fb179820ec671b47930798114573f79aa8f,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
no_op,no_op:S0050,50,duplicate_list_item,/entities,2,4bdaa31bf1d00c813ba5af1cc194afd5e5f20bd08dc3c9875ba58ef47d480c2b,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,authorization_noop,False,,False,False,True,True
