case_id,family,arm,oracle_accepted,semantic_state_sha256,transaction_meta_sha256,common_input_sha256,rule_clause_count
SCE-S32-20,scale_32_progress_checkpoint_insert,compact_semantic,True,d8b66f19d1b4183b92d0a676da597c8c9203e124fd24bbf33e8e3b6bec3c6c1e,7e3a98fd020ac712e265915201531bc26d253230b6fb844a2e5c4b7a3063c5a3,b5ca3d1a2a5cd08dac6f679b112d5f2816adb8fadb13a8beb30a50a1b41fcc80,2
SCE-S32-20,scale_32_progress_checkpoint_insert,fsr_semantic,True,d8b66f19d1b4183b92d0a676da597c8c9203e124fd24bbf33e8e3b6bec3c6c1e,7e3a98fd020ac712e265915201531bc26d253230b6fb844a2e5c4b7a3063c5a3,b5ca3d1a2a5cd08dac6f679b112d5f2816adb8fadb13a8beb30a50a1b41fcc80,2
SCE-S32-21,scale_32_progress_checkpoint_advance,cope_semantic,True,3d6f8f78a5945260948e1fa2fa3f04e108ed698d35d46c2abed23790c99c130f,c6202ffd12cf4ce1dd6bf2cf75650839420bec6481401473d6739203801c8f40,265e69873440b95add8375a43eda5f31bb0086b8a2f4292aca1a361f53b7df56,2
SCE-S32-21,scale_32_progress_checkpoint_advance,neutral_typed,True,3d6f8f78a5945260948e1fa2fa3f04e108ed698d35d46c2abed23790c99c130f,c6202ffd12cf4ce1dd6bf2cf75650839420bec6481401473d6739203801c8f40,265e69873440b95add8375a43eda5f31bb0086b8a2f4292aca1a361f53b7df56,2
SCE-S32-21,scale_32_progress_checkpoint_advance,compact_semantic,True,3d6f8f78a5945260948e1fa2fa3f04e108ed698d35d46c2abed23790c99c130f,c6202ffd12cf4ce1dd6bf2cf75650839420bec6481401473d6739203801c8f40,265e69873440b95add8375a43eda5f31bb0086b8a2f4292aca1a361f53b7df56,2
SCE-S32-21,scale_32_progress_checkpoint_advance,fsr_semantic,True,3d6f8f78a5945260948e1fa2fa3f04e108ed698d35d46c2abed23790c99c130f,c6202ffd12cf4ce1dd6bf2cf75650839420bec6481401473d6739203801c8f40,265e69873440b95add8375a43eda5f31bb0086b8a2f4292aca1a361f53b7df56,2
SCE-S32-22,scale_32_progress_reset_retry,cope_semantic,True,4c9456a3264b722dd045eab9cba55d42a64baf35845d2e418ef96351b6e02d82,4bded881101f6e4f5f5ea8d7dcc25cd2ab90747d24582da9d5b9ce81c573ed79,ab9cea7392a1d4b8d050ffc76ea3ece68f64c2aa4d1df4ce0e30f62fb5ccb996,3
SCE-S32-22,scale_32_progress_reset_retry,neutral_typed,True,4c9456a3264b722dd045eab9cba55d42a64baf35845d2e418ef96351b6e02d82,4bded881101f6e4f5f5ea8d7dcc25cd2ab90747d24582da9d5b9ce81c573ed79,ab9cea7392a1d4b8d050ffc76ea3ece68f64c2aa4d1df4ce0e30f62fb5ccb996,3
SCE-S32-22,scale_32_progress_reset_retry,compact_semantic,True,4c9456a3264b722dd045eab9cba55d42a64baf35845d2e418ef96351b6e02d82,4bded881101f6e4f5f5ea8d7dcc25cd2ab90747d24582da9d5b9ce81c573ed79,ab9cea7392a1d4b8d050ffc76ea3ece68f64c2aa4d1df4ce0e30f62fb5ccb996,3
SCE-S32-22,scale_32_progress_reset_retry,fsr_semantic,True,4c9456a3264b722dd045eab9cba55d42a64baf35845d2e418ef96351b6e02d82,4bded881101f6e4f5f5ea8d7dcc25cd2ab90747d24582da9d5b9ce81c573ed79,ab9cea7392a1d4b8d050ffc76ea3ece68f64c2aa4d1df4ce0e30f62fb5ccb996,3
SCE-S32-23,scale_32_restoration_candidate_add,cope_semantic,True,69a50acf460c5dd284bb5ef85912c37f1571a42348087932cdcfaec5a4d18fcd,804f31b647ebb0b54f42d014e12d20c817d31bce6ed281ce8211863cdf3242de,09798257a961ed89f0cb3618a6959ac2eb0575f2758b1707a522f657a6e79ce2,1
SCE-S32-23,scale_32_restoration_candidate_add,neutral_typed,True,69a50acf460c5dd284bb5ef85912c37f1571a42348087932cdcfaec5a4d18fcd,804f31b647ebb0b54f42d014e12d20c817d31bce6ed281ce8211863cdf3242de,09798257a961ed89f0cb3618a6959ac2eb0575f2758b1707a522f657a6e79ce2,1
SCE-S32-23,scale_32_restoration_candidate_add,compact_semantic,True,69a50acf460c5dd284bb5ef85912c37f1571a42348087932cdcfaec5a4d18fcd,804f31b647ebb0b54f42d014e12d20c817d31bce6ed281ce8211863cdf3242de,09798257a961ed89f0cb3618a6959ac2eb0575f2758b1707a522f657a6e79ce2,1
SCE-S32-23,scale_32_restoration_candidate_add,fsr_semantic,True,69a50acf460c5dd284bb5ef85912c37f1571a42348087932cdcfaec5a4d18fcd,804f31b647ebb0b54f42d014e12d20c817d31bce6ed281ce8211863cdf3242de,09798257a961ed89f0cb3618a6959ac2eb0575f2758b1707a522f657a6e79ce2,1
SCE-S32-24,scale_32_restoration_candidate_replace,cope_semantic,True,8d3d1d5b0b2edb486b6a709bf8a9ae6b66cdac5fc707b98b815319e1f9c3ae9c,9ab77f50d36768f01d157963648bf76b8b6840103c5f597fdd0b48983b951b3f,fd17d29309d2fce1ba0233280244a479b06666a89367ec5f41be5225c0869dc8,2
SCE-S32-24,scale_32_restoration_candidate_replace,neutral_typed,True,8d3d1d5b0b2edb486b6a709bf8a9ae6b66cdac5fc707b98b815319e1f9c3ae9c,9ab77f50d36768f01d157963648bf76b8b6840103c5f597fdd0b48983b951b3f,fd17d29309d2fce1ba0233280244a479b06666a89367ec5f41be5225c0869dc8,2
SCE-S32-24,scale_32_restoration_candidate_replace,compact_semantic,True,8d3d1d5b0b2edb486b6a709bf8a9ae6b66cdac5fc707b98b815319e1f9c3ae9c,9ab77f50d36768f01d157963648bf76b8b6840103c5f597fdd0b48983b951b3f,fd17d29309d2fce1ba0233280244a479b06666a89367ec5f41be5225c0869dc8,2
SCE-S32-24,scale_32_restoration_candidate_replace,fsr_semantic,True,8d3d1d5b0b2edb486b6a709bf8a9ae6b66cdac5fc707b98b815319e1f9c3ae9c,9ab77f50d36768f01d157963648bf76b8b6840103c5f597fdd0b48983b951b3f,fd17d29309d2fce1ba0233280244a479b06666a89367ec5f41be5225c0869dc8,2
SCE-S32-25,scale_32_restoration_candidate_drop,cope_semantic,True,b40bd32f7b93dbadf0ba5f5c039267b092d5b3ff4a53cb9f9fefe8a211c22ec4,b053036dfe78fcacfaaefee0c7dfb9836aeee757ffe552aab2acf7cc2109f864,e7546adc5e41eb208472cd213700ef041d284b6ebb4b879ea0aec0248f38f51b,2
SCE-S32-25,scale_32_restoration_candidate_drop,neutral_typed,True,b40bd32f7b93dbadf0ba5f5c039267b092d5b3ff4a53cb9f9fefe8a211c22ec4,b053036dfe78fcacfaaefee0c7dfb9836aeee757ffe552aab2acf7cc2109f864,e7546adc5e41eb208472cd213700ef041d284b6ebb4b879ea0aec0248f38f51b,2
SCE-S32-25,scale_32_restoration_candidate_drop,compact_semantic,True,b40bd32f7b93dbadf0ba5f5c039267b092d5b3ff4a53cb9f9fefe8a211c22ec4,b053036dfe78fcacfaaefee0c7dfb9836aeee757ffe552aab2acf7cc2109f864,e7546adc5e41eb208472cd213700ef041d284b6ebb4b879ea0aec0248f38f51b,2
SCE-S32-25,scale_32_restoration_candidate_drop,fsr_semantic,True,b40bd32f7b93dbadf0ba5f5c039267b092d5b3ff4a53cb9f9fefe8a211c22ec4,b053036dfe78fcacfaaefee0c7dfb9836aeee757ffe552aab2acf7cc2109f864,e7546adc5e41eb208472cd213700ef041d284b6ebb4b879ea0aec0248f38f51b,2
