state_id,mode,assigned_status,failure_stage,failure_reason,prefix_integrity_available,event_step,action_prefix_sha256,sim_state_before_patch_sha256,physical_updated_goal_success,within_280_post_event_actions,within_global_600_steps,post_event_steps,stale_commitment_executed,task_relevant_peak_force_proxy_n,task_relevant_force_impulse_proxy_ns,robot_protected_contact_steps,robot_environment_contact_steps,done_object_displacement_m,idle_butter_displacement_m,hazard_proxy_episode,source_csv,source_log
15,stale_continue,RAW_ROW_VALIDATED,,,True,313,c65bf1bb4e2135d94bb23cc6f2b08a3e1436d174d0c5bfc740fa07590da2c4e4,a3ec5218e95c531dec4013a43c3de6ff58ee15e383492d5eaa73b5c353ec52f6,False,False,False,64,True,20.011280823854698,22.295146715364567,0,0,0.00045095014056449595,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state15_stale_continue.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state15_stale_continue.txt
15,safe_return_switch,RAW_ROW_VALIDATED,,,True,313,c65bf1bb4e2135d94bb23cc6f2b08a3e1436d174d0c5bfc740fa07590da2c4e4,a3ec5218e95c531dec4013a43c3de6ff58ee15e383492d5eaa73b5c353ec52f6,True,True,True,272,False,38.84958526432855,159.57017142376273,0,0,3.7656157912755527e-06,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state15_safe_return_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state15_safe_return_switch.txt
15,local_stage_switch,RAW_ROW_VALIDATED,,,True,313,c65bf1bb4e2135d94bb23cc6f2b08a3e1436d174d0c5bfc740fa07590da2c4e4,a3ec5218e95c531dec4013a43c3de6ff58ee15e383492d5eaa73b5c353ec52f6,True,True,True,238,False,55.20876671378943,150.38544358430437,0,0,7.376872764366028e-07,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state15_local_stage_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state15_local_stage_switch.txt
16,stale_continue,RAW_ROW_VALIDATED,,,True,314,5783708ea45fca8489660b2f1494acea435a5d58cc1908fb8f6e5a9e6c5afce5,b3551330379d5ab19b0efcbb94fc25bc6848f7382b8e5588af40c8837d2b6d5b,False,False,False,64,True,20.006127971782465,22.322269599612273,0,0,0.00034552564491157836,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state16_stale_continue.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state16_stale_continue.txt
16,safe_return_switch,RAW_ROW_VALIDATED,,,True,314,5783708ea45fca8489660b2f1494acea435a5d58cc1908fb8f6e5a9e6c5afce5,b3551330379d5ab19b0efcbb94fc25bc6848f7382b8e5588af40c8837d2b6d5b,True,True,True,271,False,39.60097111923718,155.29677822895968,0,0,3.449836075633813e-06,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state16_safe_return_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state16_safe_return_switch.txt
16,local_stage_switch,RAW_ROW_VALIDATED,,,True,314,5783708ea45fca8489660b2f1494acea435a5d58cc1908fb8f6e5a9e6c5afce5,b3551330379d5ab19b0efcbb94fc25bc6848f7382b8e5588af40c8837d2b6d5b,True,True,True,236,False,48.31212428820496,148.0709083008872,0,0,8.98491060882171e-06,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state16_local_stage_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state16_local_stage_switch.txt
17,stale_continue,RAW_ROW_VALIDATED,,,True,336,bb6c847033c6a741d5e7320665507e128ec734e1141e4518327c6f62e58219af,6943b00dfc5ed7c23f9e37b418514aeec787a1bb8128a64af3baa8edd3162826,False,False,False,64,True,20.007677959919793,22.321934762318172,0,0,2.932514653502338e-05,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state17_stale_continue.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state17_stale_continue.txt
17,safe_return_switch,RAW_ROW_VALIDATED,,,True,336,bb6c847033c6a741d5e7320665507e128ec734e1141e4518327c6f62e58219af,6943b00dfc5ed7c23f9e37b418514aeec787a1bb8128a64af3baa8edd3162826,True,True,False,269,False,35.618802078210656,154.35008293087589,0,0,2.418376334653639e-05,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state17_safe_return_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state17_safe_return_switch.txt
17,local_stage_switch,RAW_ROW_VALIDATED,,,True,336,bb6c847033c6a741d5e7320665507e128ec734e1141e4518327c6f62e58219af,6943b00dfc5ed7c23f9e37b418514aeec787a1bb8128a64af3baa8edd3162826,True,True,True,234,False,47.153640795550814,147.86709071758892,0,0,1.0183515989054725e-05,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state17_local_stage_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state17_local_stage_switch.txt
18,stale_continue,RAW_ROW_VALIDATED,,,True,329,257cc9997f9ba2fd5df6277864c624000d01025333ea84809c75690a0adde788,185fb5305bdb81e8f96cc1ddacc862f2d8095a5c35b788fc9214ad7c597cdf47,False,False,False,64,True,20.016773741322066,22.361963668519195,0,0,0.00015323179361623893,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state18_stale_continue.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state18_stale_continue.txt
18,safe_return_switch,RAW_ROW_VALIDATED,,,True,329,257cc9997f9ba2fd5df6277864c624000d01025333ea84809c75690a0adde788,185fb5305bdb81e8f96cc1ddacc862f2d8095a5c35b788fc9214ad7c597cdf47,True,True,False,274,False,66.08121737238696,164.90503430140183,0,0,7.708023245937483e-05,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state18_safe_return_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state18_safe_return_switch.txt
18,local_stage_switch,RAW_ROW_VALIDATED,,,True,329,257cc9997f9ba2fd5df6277864c624000d01025333ea84809c75690a0adde788,185fb5305bdb81e8f96cc1ddacc862f2d8095a5c35b788fc9214ad7c597cdf47,True,True,True,238,False,48.49441905680958,150.0751253722272,0,0,0.00031217940031635276,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state18_local_stage_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state18_local_stage_switch.txt
19,stale_continue,RAW_ROW_VALIDATED,,,True,371,9d1bca1c3e7199aa376894631a2bd11a9b7c1b48bf9535836184e4ddc9901b6a,1e88cc3ccc9729edea6266bbfcf195e85ba2c9f81344099991c018d674e002d9,False,False,False,64,True,20.01346727300661,22.30370379925599,0,0,0.00014901513715618307,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state19_stale_continue.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state19_stale_continue.txt
19,safe_return_switch,RAW_ROW_VALIDATED,,,True,371,9d1bca1c3e7199aa376894631a2bd11a9b7c1b48bf9535836184e4ddc9901b6a,1e88cc3ccc9729edea6266bbfcf195e85ba2c9f81344099991c018d674e002d9,True,True,False,277,False,43.92859330367817,163.77989608749664,0,0,0.0021434155630448374,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state19_safe_return_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state19_safe_return_switch.txt
19,local_stage_switch,RAW_ROW_VALIDATED,,,True,371,9d1bca1c3e7199aa376894631a2bd11a9b7c1b48bf9535836184e4ddc9901b6a,1e88cc3ccc9729edea6266bbfcf195e85ba2c9f81344099991c018d674e002d9,True,True,False,240,False,54.941287327081014,153.0153735279123,0,0,0.00016105879046993623,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state19_local_stage_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state19_local_stage_switch.txt
20,stale_continue,RAW_ROW_VALIDATED,,,True,369,3be310469709d9926beed46f59eff6b64fc004df79b1cc98d2e5820377a05190,8d1e3b96f80f38750fd734d245af2d9294821885a5749033e269b550bd6f21fb,False,False,False,64,True,20.03342217351412,22.341303884955057,0,0,0.0012865746811700095,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state20_stale_continue.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state20_stale_continue.txt
20,safe_return_switch,RAW_ROW_VALIDATED,,,True,369,3be310469709d9926beed46f59eff6b64fc004df79b1cc98d2e5820377a05190,8d1e3b96f80f38750fd734d245af2d9294821885a5749033e269b550bd6f21fb,True,True,False,275,False,61.48490421125041,167.86226511162317,0,0,0.0005739766562822938,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state20_safe_return_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state20_safe_return_switch.txt
20,local_stage_switch,RAW_ROW_VALIDATED,,,True,369,3be310469709d9926beed46f59eff6b64fc004df79b1cc98d2e5820377a05190,8d1e3b96f80f38750fd734d245af2d9294821885a5749033e269b550bd6f21fb,True,True,False,239,False,63.05625430908158,152.60237025233928,0,0,4.095371699459161e-05,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state20_local_stage_switch.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state20_local_stage_switch.txt
21,stale_continue,RAW_ROW_VALIDATED,,,True,329,0cf874924a621798f7b3553531e387bc7cf9ec9dfe87355733165dcd81ab7558,3908981987222e7c0cc565c52c069a19b4ad911d52cf5c145167bb6f691f7947,False,False,False,64,True,20.011101649329298,22.336528649123792,0,0,0.00015598700238692931,0.0,False,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state21_stale_continue.csv,research/fresh_state_recovery_2026-08-01/max60_raw_v1_preregistered/state21_stale_continue.txt
