evidence_protocol,task_id,initial_state_id,nominal_policy_seeds,nominal_run_count,unique_trajectory_count,scientific_weight,success,completion_policy_steps,raw_policy_action_sequence_sha256,environment_policy_action_sequence_sha256,full_trace_sha256s,exact_duplicate,source
repeated_v2_clean_calibration_episode_v1_frozen_260,4,0,101;131,2,1,1,true,230,c7bcd1d1afb9d097f855712c0284d0bd9e14093b590a2f55cdb362c214fe5ea7,b301fe19876cbe7f074954c72f9fd3b10ca19d6726a18bba1e0ac5a2f632a69d,93bdfd0b69a46f3fbef44de64b1e81d5750580ec80dba20b6a906a27ae522e39;fc330c40578428cb94902a347e35302f3e5a1f1b86376af1e0435b649a41f2d7,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,4,1,101;131,2,1,1,false,,3eacec9a859ff825b1734bd0518c760d151668bc9ea36d9b7ff947bff1cc263a,69c00a30da55698c82c88136d0439aa28609411e4a5a46d8ee57538dc1e01026,c805aae9b6ce492de09f2de9c5603f501bca5dfbf582e413b3957d4724d2228d;dacf715e7104478904bca036b4ba209b37d1b7eb5820479462d4fe2ce936341c,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,4,2,101;131,2,1,1,true,208,23759199b8b07f0b9064f6c83415a2ec4a5574f063d76e759d89e7d9b0806c4a,39f492320b1a8ba021f395631126b34456cd43452edd2e5f5d3031465f5630d6,53b6c82523f621e4ce0d551e72e90d04b6db00402ec244c8a859b2e4aae7c6b1;b56666dea903321c5bf18b733defce0cbd1e22f9bd4dfe7650f87fe6bd93fc0e,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,4,3,101;131,2,1,1,false,,e46f082467c42b91ee8ac13de8a3853129b79408c0c28f5f244b8f2a85ff5f9c,120d147b5815a3c7a2c8904a2a2bed505f8f442669417215565bf9ccc8a43d00,2c3d968a90adf7218d9cc4972f19126fd83f08d386fa547d575748db56d24d63;d14395c7123c6dcc886d4ffd46b4936fd6ef9fc2912e2051fff3faa3a3acc489,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,4,4,101;131,2,1,1,false,,1f2256575023eceabbd4729cfc547cf77bc9a51bfd138b28f46b83db93a3f035,df6bb5ecb4146efa47a179a7c0aa9ad0d1d0dc2d30eb5e45518869bdf7d20c09,100b4186310b87d46e9142b6b788f66ccada9b1a7c825f0722ad8d09fbdfacda;d0ec781a2c5b243f7a24c134bbb7379a914c363e45470c4f9bbf3e6dd52d8a5c,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,8,0,101;131,2,1,1,false,,000341e09789cc04f59869a44b42ab38a5c55e464a5e3e7dbed4c42542347080,825968bf90c736d40f5915e21fbf64fe2792980cf7a470073d39c9c3caa38ca3,d3f9f4982de411f0eb4b9ce790ea192755d50e878fa375135e6cd29483f2b4a2;db3949b56487ee7c769c655f03d371e5a37f49f2ab1e722ed2c3aa15ff466b06,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,8,1,101;131,2,1,1,false,,48887629f1e5117e1c81fe29a43080d9da2ee97a1ecdebd8152ec8a1b5cd8947,622836978e31017665d3267c81fecf5b9dae6889f6b6bcae71eb6a2d993aa9d4,1884c0fb26392c58f6bcce1646b00d9aa17ea65b6db53e9cdba847b363ef11f4;9dd0239ee6cdb94707b7c7d9d7684d30a0fb9826115c3bd0ab7216dc0da36626,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,8,2,101;131,2,1,1,false,,63a45c9ccd5457998f6d1d30755e55f9f8e89749f841e9fc0dc0c2ef261ee82f,5e56a8edd8ad0a8262d91a6080cb05c969198a167740128f53bf1edbb825646d,a3886137d2ae2c57e95fd1c49899de0fadafc33a9f0dd1ff1bf236b0a97b66b8;d1e62ddfa400db2f24df1eb1ffa81bd5d69cd41400fa4905ec64300d28ec13d3,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,8,3,101;131,2,1,1,false,,9e20d026d758f6b9f18a00dc0b517d0579fc11a173243574807e133a47eec966,af9cad477219eaa98dea25fcd78dea8b1143211a71708d22cfe9edb759e338c2,b993058dae6dbe3a8ef36ec326461b74e9b9d75805c3ccdda7ee49c6638b4188;ced45d3d617faf86901543849b5cedfea2d14cb4121a1e0d198830884ff42834,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,8,4,101;131,2,1,1,false,,c51523ea9bd952f071a8bb1b111ec59ab5f143fe46c09b59c31e9478ae1b31b2,2e9577747410f83100449f2d8e739a44ba9f21f65c1021e9acd2d595e43193b5,0997e0cb4869b5e066c5bf8a529219cf28a10fc0ed151836d7dc8647374e8ee8;b470a1d3c5fa0f5bd452493670457a622569c37b92500ec52c545f3689bb83ce,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
