duplicate_group_id,task_id,initial_state_identity,action_trajectory_sha256,nominal_count,members,success,completion_policy_steps
trajectory-028,2,sha256:889f77b9e981349a8cf29c6e9a841bbac3634e4562ec0aab5d2b6e0292053178,15f8aae541c42ce5f17006b9c7a6b8c531906b3cbf8b6e61fe582ec3403ac561,1,"[[6,101]]",True,272
trajectory-029,2,sha256:9ae67aa7e7dd9987ecd1f2930e2b061fb66a414dd94e4b575417356a556cbd90,1ea231a989ac6cb7b094b66932c26fdc275703c5cccbd38083e476704b1b3b18,1,"[[0,101]]",False,
trajectory-030,2,sha256:fe4e1ad710fc072172e81cacf79f27923daa0f7b56c80ed0a8aecff90635d759,33b6e3035edd8ba5f3990ddd896d340fb09d976fbb8a7e7b205ec6143d960645,1,"[[9,101]]",True,323
trajectory-031,3,sha256:070477df0cfd5b91190ff37614027be95647932f3d641aef27173f29c5255488,146e74f38dce12011a5801b0871224eeb3af924a938a2986f0e6dfa0c89826d0,1,"[[5,101]]",False,
trajectory-032,3,sha256:3304c9b023454e5f857390d21d8992a71c0491af9b7be42cd2b96d38fad671c9,bdcb7a8aee0332ba1adea0143d7628376246664c8c11084f0e73aa58c1ee592c,1,"[[3,101]]",False,
trajectory-033,3,sha256:391683245a32d3c7c82b6cc36bcdd2c504078798c7545bb2e617291cf8ac8c0e,9dc8c576dbf2cc2bad1fdb81900c1fec1e595972fa48a7e5b9b1f16df126498d,1,"[[7,101]]",True,245
trajectory-034,3,sha256:4163733ff3615b450aeebdbe916059b6c8b8f899330378fde0f00efc2f795efe,41bc7278b95d8ee7bcc4ad70ce34f81ab2ab239f5559ae69afe43a4376ceec23,1,"[[1,101]]",False,
trajectory-035,3,sha256:54647cdea762ee9cf0ff2d80d17547e7a0a1c49606099f9d043c9c13308800ce,3cc98bd0d2db55ecb334e80782cc8cda7f0928212b2211660b577349020b8900,1,"[[4,101]]",False,
trajectory-036,3,sha256:5a55a76afddbf522462c41c3f0e9ee5823061d9632721d6f652fe855fca74736,99810ed23ece6d401f085e2cbfb21876f4c54c04d30436948086295fd26ec756,1,"[[9,101]]",False,
trajectory-037,3,sha256:c0b450c43d17bfeb06fbfa6736e68ec70a6b15e2d6c2948318c47f662ac5413a,23aea7bb15e53aad0bbaa6c1530dc2092e2507d38724ee53c648ce071d5fb0a7,1,"[[8,101]]",True,295
trajectory-038,3,sha256:d4452cb6d293450305537a0160f36840b3351a6b381b8e487f3bf2db1b30399b,629864db2f4772530cd5d7380da9912476851d63049854e7b397d4fa656643a4,1,"[[2,101]]",False,
trajectory-039,3,sha256:ea2ad0a67ceabe915bc4744e8231bf7fe71bddb74ff8c67eae6c821ff82078a4,f25acd9e8d8820d69ea6b2d57eebca7ef91e890138438a74064cc9cee0b4bc1a,1,"[[0,101]]",True,312
trajectory-040,3,sha256:fbe75ec3ec5d6c2f3a7f8d18fff9401fd432f62cdd27361955fcc752f0e06b84,c518b96c6660629765a1a0253bd89e1018dc095ca9b0b4ee1802cfe65be07473,1,"[[6,101]]",False,
trajectory-041,4,sha256:1d2fdd615bb32a097ad2781dd5e9203104555e54521dd9bce6eacbb5bf718e33,0d1411f453db0691cb0baea14c14542d1c76e4d7edd95de4562fbef40ba10d9c,1,"[[2,101]]",True,208
trajectory-042,4,sha256:3d2e8682243eea8849aa951f676fe1951030d2f89713571e23724c45d22d03e5,3215384d93f4c5529989c31039e9a17bac19a49437a8629b0ef104550090982d,1,"[[9,101]]",True,228
trajectory-043,4,sha256:4365b3c5a82da7f8818c11ef5fd494c4890c17c4c3e27948dc290a9ac2f08131,224adedb0fd51632d1313e9c7a7f1ad9a8717aa58dccb7339d97a399516a5970,1,"[[0,101]]",True,230
trajectory-044,4,sha256:4da1e19512111404fa9dc3c87088cf26dce60996e1e9cf5b43ca04c73465a4e6,b1e74af3dd450302b75f834ebde7d3fafc3d00b4e2385259c8afb63b02ec9cdc,1,"[[4,101]]",True,284
trajectory-045,4,sha256:69b2841b88f91402edf81e40eb3afea98c5fa70a6a37c1a8d431a11784bfa935,1dbb53c602a7989faf7562801c75fc037ad3f4fe2871e1f65e02eb6d41338451,1,"[[8,101]]",True,270
trajectory-046,4,sha256:79a2ec18a6067d027a62de697a1931bf818dffc4dd7572c39c4426e122bd35d0,bfe1b1a030fa0d07d8813e59dd31cff4b336a42a17ab80e986d87daaf8a1ca2f,1,"[[3,101]]",True,264
trajectory-047,4,sha256:b55dd89278457f3c00d7b4d871dc8d64e84534e5a119dd35a53e5a152c831d6a,5fe642334de24fb4672cdd30200bc7875107658d53c942923744756b7796e4c1,1,"[[1,101]]",False,
trajectory-048,4,sha256:b83253684e70aacc31a4caf328017aa7b4bf34e6320a1c999f1472c43a80e915,aa1575ad9efb7ac046a59e24828b4c5d12d6b2637e9e1e689f15fc0bc81366b6,1,"[[5,101]]",False,
trajectory-049,4,sha256:b95581ac6ecb117121be421670abca2d7ac7cfa98d3617a80a851bf7fa2faef0,1c2555d86ed7045bf484acfd57281ba77bf696c1d2ec37ad0230bc2e48d07417,1,"[[7,101]]",False,
trajectory-050,4,sha256:c5ccffa18cb4b9e735e02bf9dd64a86454f91d432a93e8af23b5e1d3a23472cc,2de487d0ef7210693a21bd7e7118e704238d44d0ce23c1209d2642ac2d3bffda,1,"[[6,101]]",True,267
trajectory-051,5,sha256:2d485bf26d885754bc4f03ffbe09567c61e6df490cff21a8c6d76ad549be444d,1a3ba861ab1306720437c3239ed71181af5909cb6cc63c673f61a8554768fbcd,1,"[[9,101]]",True,193
trajectory-052,5,sha256:2f359eaf0499d91a9e34f60059daf9c65b871bdc754a2860f66f07dfd1597fa8,de897ff42359eeaea4230c2b10f4958f6e6b61ea3bf64ea4971f29431d95565c,1,"[[7,101]]",True,216
trajectory-053,5,sha256:407c3d5eb11fd5b33bd2a6dea73a37415a99d7e72f0cc291074de29b1c63c37c,c6886a05e38a834c62e52150eb0cf7c0515edfea5821c6714d94de017fe9330c,1,"[[0,101]]",True,418
trajectory-054,5,sha256:714bd3564af9500471de00d628f8b6191e6bcd2954d8e3ee9eb6abd2bf67f543,e644c6eaa0738b638cd741a44b28e411302cbfc37a3077111e182ba298b93a0d,1,"[[6,101]]",True,213
trajectory-055,5,sha256:72e9938805b4da92baeb254ab7611081832edbb30e3f07c8136e1ea8a00fa235,053569937e5bef932e1c40818f9bcbd1592d4cca4ea4c167bab26c3acaa34405,1,"[[3,101]]",True,228
trajectory-056,5,sha256:75a83a20065300d19f7fbb49c3ab5236e56ededda0c2517e27b77c0e1356e23d,635115694ffa7844b2c0b6d6f21439d070b432ab6a3f6413a1873dd4b1661625,1,"[[8,101]]",True,165
trajectory-057,5,sha256:825a43323d564777617871b44f4c0f871a263f5aac13b1d04f204cc4957134e8,24f3c37dfbb0d318c9a90483348058aae2e405662fad5587fba4409524f8726e,1,"[[4,101]]",True,166
trajectory-058,5,sha256:83ff554be370e25fb3b049d5c3db3f2cf4f20524a0eab8beeda093c6a81bad66,762adb4018bda9d464b06c84ec24a798c1f01f497f4322d1c7129289b05afdf8,1,"[[2,101]]",True,482
trajectory-059,5,sha256:8e5a64567e7494c932e2b3e66d902342bdacc3b3d4216f9e1c36cf5be49a0acb,1734a41dc190d80abe489bb9eddc7de60d066e9bd37dc67b27b98dc0d45788a3,1,"[[5,101]]",True,183
trajectory-060,5,sha256:fbf82707bd0a7721f0e118ac32aad30182e487e7a940bec7128ad6f18457e139,949f18b7ec7b3ea0d91287c2e0b083ea65a163fd65f31a7bf9ccb1e9fb4cdc6d,1,"[[1,101]]",False,
trajectory-061,6,sha256:12a6a2fbf64738073c60f4e10097f146d657e83132350d07d80cf5e2ccb879a4,9557a181ec2277564e12de9b67e670d9cc0c648a7895e6ec44a7300a107d2477,1,"[[5,101]]",False,
trajectory-062,6,sha256:3281826636e406df33f6b9aa122a1dcfb4378779f47fa00390b8e1d8f81d192c,90fba1a8e53505ba604eb9e05eeb0f8121d4f4e3ff3ba0d5da087941e2af196f,1,"[[9,101]]",False,
